year,strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
2006,Buy & Hold,1.4435492889840478,1.4699949008640232,0.3226971651082768,2.967608723766087,4.545005577275796,3.993412510848724,-0.36810494705231533,148.0,12.0,-0.0350304926612768,-0.0414507539230521,-0.1807602792862687,1.4435492889840478,0.570281124497992,0.01721561673238922,-0.01413565204764334,1.63150803970887,1.0,1.0120481927710843,1.0,1.0,3.9215699233156176,1.4435492889840478,444.11625,1.0,1.0,1.4435492889840478,444.11625,249.0
2008,Buy & Hold,-0.6595542706737718,-0.6698754438317314,0.3704545874961725,-2.800221207196386,-5.134497792318391,-0.9729286706247422,-0.6885144451561771,244.0,244.0,-0.042155858551651534,-0.04472196622738941,-0.2399824830304359,-0.6595542706737718,0.44081632653061226,0.017802607910253277,-0.02171274841201929,0.6559319924841382,0.0,0.0,1.0,1.0,-0.957938174447689,-0.6595542706737718,-611.42,1.0,0.0,-0.6595542706737718,-611.42,245.0
2018,Buy & Hold,-0.09316833292692983,-0.09459763633723017,0.22278390048404753,-0.3343707510644706,-0.4280850400020433,-0.36093895377650564,-0.26208763378808175,185.0,27.5,-0.025749443256606323,-0.03524161955609327,-0.10575072799414209,-0.09316833292692983,0.5604838709677419,0.008884354270591647,-0.012002158205275417,0.9439626771423638,0.0,0.0,1.0,1.0,-0.35548542134675337,-0.09316833292692983,-91.70000000000005,1.0,0.0,-0.09316833292692983,-91.70000000000005,248.0
2020,Buy & Hold,0.148680007076037,0.148680007076037,0.2279122808179297,0.72316846792293,0.7364649794029966,0.44367277596872196,-0.3351118552437814,208.0,20.545454545454547,-0.028300976335435702,-0.04162787604197607,-0.24899398088847058,0.148680007076037,0.6190476190476191,0.008135969585458532,-0.011504086254079254,1.1492395210164628,0.0,0.0,1.0,1.0,0.44367277596872196,0.148680007076037,142.87999999999988,1.0,1.0,0.148680007076037,142.87999999999988,252.0
2022,Buy & Hold,-0.327835918519903,-0.3310453291323707,0.24825185645133474,-1.4937950928372121,-1.9141300119006848,-0.8205782002559998,-0.403429348999392,246.0,123.5,-0.03219567413847348,-0.04056130871080786,-0.11589132455037421,-0.327835918519903,0.4939759036144578,0.009891939954407144,-0.012564534034408287,0.7685456180146409,0.0,0.0,1.0,1.0,-0.8126228776687169,-0.327835918519903,-491.18999999999994,1.0,0.0,-0.327835918519903,-491.18999999999994,249.0
2006,MACD only,1.840563325153889,1.8765185566921034,0.24099722988101294,4.51267960645876,5.6940432410092,13.702562333424773,-0.13694654408648055,91.0,9.88888888888889,-0.017260247540832285,-0.030676384599262252,-0.062040219561317,1.840563325153889,0.37349397590361444,0.018577513026946924,-0.0108852061812004,2.645346786494425,14.0,14.16867469879518,0.5903614457831325,0.5903614457831325,13.440012943967314,3.1176888977096486,519.7480249999999,7.0,0.5714285714285714,0.17803285919716805,74.24971785714284,22.0
2008,MACD only,-0.11955368037202607,-0.12275083249959295,0.2257120030911526,-0.4672448721268303,-0.5092979670562618,-0.4293848149393187,-0.2858760445847166,153.0,120.5,-0.027355390065395866,-0.03644706984089417,-0.1297636177860404,-0.11955368037202607,0.2530612244897959,0.01529640304298247,-0.015922882471675275,0.9024338613731487,18.0,18.514285714285716,0.4897959183673469,0.4897959183673469,-0.41820111421262335,-0.24408876409288657,-126.26160499999989,10.0,0.3,-0.0077577211504209044,-12.626160499999994,12.9
2018,MACD only,0.18711334449313322,0.19040207125799813,0.12301121968357957,1.4787492292407594,1.4342219596458134,2.235018350127746,-0.08519038389421518,99.0,17.75,-0.014197973428412607,-0.020757131499017104,-0.04968382304206043,0.18711334449313322,0.38306451612903225,0.006771341139103486,-0.007610852575394405,1.3855913220949312,17.0,17.274193548387096,0.592741935483871,0.592741935483871,2.196413913634671,0.3156742138387553,178.3349349999998,9.0,0.7777777777777778,0.02006033121919769,19.814992777777757,17.333333333333332
2020,MACD only,0.4612655505814456,0.4612655505814456,0.13620282245503298,2.8547242851348718,2.8013971415005825,5.02951107243129,-0.09171180735833784,53.0,8.727272727272727,-0.010425000982469812,-0.020249528354322453,-0.03853066187300891,0.4612655505814456,0.4007936507936508,0.007995300240437951,-0.00686399703799897,1.9286313786190938,16.0,16.0,0.6111111111111112,0.6111111111111112,5.02951107243129,0.754798173678729,321.0925000000001,9.0,0.5555555555555556,0.04677391442199294,35.67694444444446,18.0
2022,MACD only,-0.09157929617589255,-0.09262991345749816,0.15062795835257603,-0.5698126477704736,-0.5142688039124332,-0.4354400805194013,-0.21272711815367895,145.0,40.166666666666664,-0.01657510716465351,-0.027440049462528884,-0.06520159291446526,-0.09157929617589255,0.24899598393574296,0.008545553819694072,-0.008305841490101272,0.8620184172732219,19.0,19.2289156626506,0.5060240963855421,0.5060240963855421,-0.430501277743694,-0.18097813291902579,-99.06070499999997,10.0,0.3,-0.008381750324387904,-9.906070499999998,13.6
